date,equity,pnl,strategy,symbol,window
2024-05-31,100031.68,31.68,iron_condor,QQQ,1
2024-06-12,100032.98999999999,1.31,iron_condor,QQQ,1
2024-06-17,99771.81,-261.18,iron_condor,QQQ,1
2024-07-09,100502.26,730.45,iron_condor,QQQ,1
2024-07-17,100336.08,-166.18,iron_condor,QQQ,1
2024-07-24,100370.28,34.2,iron_condor,QQQ,2
2024-08-02,100427.94,57.66,iron_condor,QQQ,2
2024-08-05,100089.07,-338.87,iron_condor,QQQ,2
2024-08-13,99860.48000000001,-228.59,iron_condor,QQQ,2
2024-08-19,99914.50000000001,54.02,iron_condor,QQQ,2
2024-09-03,100633.64000000001,719.14,iron_condor,QQQ,2
2024-09-16,101095.59000000001,461.95,iron_condor,QQQ,2
2024-11-04,101898.64000000001,803.05,iron_condor,QQQ,3
2024-11-06,101661.26000000001,-237.38,iron_condor,QQQ,3
2024-11-15,101673.12000000001,11.86,iron_condor,QQQ,3
2025-01-14,102089.12000000001,416.0,iron_condor,QQQ,4
2025-05-28,103358.08000000002,1268.96,iron_condor,QQQ,7
2025-06-11,104383.64000000001,1025.56,iron_condor,QQQ,7
2025-06-13,104439.61000000002,55.97,iron_condor,QQQ,7
2025-06-24,105028.22000000002,588.61,iron_condor,QQQ,7
2025-07-02,105230.52000000002,202.3,iron_condor,QQQ,7
2025-07-11,105974.43000000002,743.91,iron_condor,QQQ,7
2025-07-29,105963.33000000002,-11.1,iron_condor,QQQ,8
2025-08-06,105579.85000000002,-383.48,iron_condor,QQQ,8
2025-09-05,106809.91000000002,1230.06,iron_condor,QQQ,8
2025-09-11,106893.79000000002,83.88,iron_condor,QQQ,8
2026-02-03,107212.83000000002,319.04,iron_condor,QQQ,11
2026-03-10,107754.77000000002,541.94,iron_condor,QQQ,11
2026-03-20,107491.15000000002,-263.62,iron_condor,QQQ,12
2026-03-30,107220.27000000002,-270.88,iron_condor,QQQ,12
