date,equity,pnl,strategy,symbol,window
2025-06-03,102926.71999999999,767.94,iron_condor,QQQ,4
2025-06-05,103688.00999999998,761.29,iron_condor,QQQ,4
2025-06-06,104431.52999999998,743.52,iron_condor,QQQ,4
2025-06-16,100954.18,954.18,iron_condor,QQQ,3
2025-06-27,101697.29999999999,743.12,iron_condor,QQQ,3
2025-06-27,102158.77999999998,461.48,iron_condor,QQQ,3
2025-07-01,105212.83999999998,781.31,iron_condor,QQQ,4
2025-07-02,105994.19999999998,781.36,iron_condor,QQQ,4
2025-07-10,107588.71999999997,793.73,iron_condor,QQQ,5
2025-07-11,106794.98999999998,800.79,iron_condor,QQQ,4
2025-07-14,109109.80999999997,815.14,iron_condor,QQQ,6
2025-07-22,109910.19999999997,800.39,iron_condor,QQQ,6
2025-07-23,110724.69999999997,814.5,iron_condor,QQQ,6
2025-08-04,116182.17999999995,824.38,iron_condor,QQQ,7
2025-08-06,117006.67999999995,824.5,iron_condor,QQQ,7
2025-08-07,117834.61999999995,827.94,iron_condor,QQQ,7
2025-08-08,108294.66999999997,-55.17,iron_condor,QQQ,5
2025-08-08,108349.83999999997,761.12,iron_condor,QQQ,5
2025-08-11,111548.78999999996,824.09,iron_condor,QQQ,6
2025-08-12,112369.29999999996,820.51,iron_condor,QQQ,6
2025-08-13,113207.83999999995,838.54,iron_condor,QQQ,6
2025-08-25,118658.12999999995,823.51,iron_condor,QQQ,7
2025-08-25,114031.34999999995,823.51,iron_condor,QQQ,6
2025-08-28,120451.94999999995,1841.19,iron_condor,QQQ,8
2025-08-29,114887.06999999995,855.72,iron_condor,QQQ,6
2025-08-29,115357.79999999994,470.73,iron_condor,QQQ,6
2025-09-19,118667.62999999995,9.5,iron_condor,QQQ,7
2025-09-19,118610.75999999995,-56.87,iron_condor,QQQ,7
2025-11-05,122236.68999999996,1784.74,iron_condor,QQQ,10
2025-11-20,121929.67999999996,-307.01,iron_condor,QQQ,10
2025-11-20,121628.07999999996,-301.6,iron_condor,QQQ,10
2025-11-21,123412.03999999996,1783.96,iron_condor,QQQ,10
2026-01-23,124953.47999999997,1541.44,iron_condor,QQQ,13
2026-02-02,126936.61999999997,1983.14,iron_condor,QQQ,15
2026-02-02,128912.15999999996,1975.54,iron_condor,QQQ,15
2026-02-17,137414.70999999993,2013.28,iron_condor,QQQ,16
2026-02-17,130925.43999999996,2013.28,iron_condor,QQQ,15
2026-02-19,139386.98999999993,1972.28,iron_condor,QQQ,16
2026-02-23,141348.48999999993,1961.5,iron_condor,QQQ,16
2026-02-23,132901.09999999995,1975.66,iron_condor,QQQ,15
2026-02-26,134844.83999999994,1943.74,iron_condor,QQQ,15
2026-03-06,135453.01999999993,608.18,iron_condor,QQQ,15
2026-03-06,135401.42999999993,-51.59,iron_condor,QQQ,15
2026-03-16,143276.90999999995,1928.42,iron_condor,QQQ,16
2026-03-23,145186.94999999995,1910.04,iron_condor,QQQ,16
2026-03-26,147081.82999999996,1894.88,iron_condor,QQQ,16
2026-03-27,146233.45999999996,-175.01,iron_condor,QQQ,16
2026-03-27,146650.45999999996,-431.37,iron_condor,QQQ,16
2026-03-27,146408.46999999997,-241.99,iron_condor,QQQ,16
2026-04-08,144867.44999999995,-1366.01,iron_condor,QQQ,18
