date,equity,pnl,strategy,symbol,window
2024-05-31,100221.95,221.95,iron_condor,QQQ,1
2024-07-19,99862.44,-359.51,iron_condor,QQQ,1
2024-07-24,98806.84,-1055.6,iron_condor,QQQ,4
2024-08-02,97814.48,-992.36,iron_condor,QQQ,4
2024-08-13,96896.56,-917.92,iron_condor,QQQ,4
2024-08-23,96975.93,79.37,iron_condor,QQQ,4
2024-09-03,97133.59,157.66,iron_condor,QQQ,4
2024-09-18,97931.11,797.52,iron_condor,QQQ,4
2024-09-19,98426.02,1049.52,iron_condor,QQQ,6
2024-09-20,97376.5,-554.61,iron_condor,QQQ,4
2024-10-07,100104.82,1678.8,iron_condor,QQQ,6
2024-10-11,101730.58,1625.76,iron_condor,QQQ,7
2024-11-06,100694.3,-1152.74,iron_condor,QQQ,8
2024-11-07,100481.81,-950.75,iron_condor,QQQ,9
2024-11-15,101789.97,59.39,iron_condor,QQQ,7
2024-11-15,99559.45,-922.36,iron_condor,QQQ,9
2024-11-15,100805.13,110.83,iron_condor,QQQ,8
2024-11-22,101847.04000000001,57.07,iron_condor,QQQ,7
2024-11-29,101432.56,627.43,iron_condor,QQQ,8
2024-12-02,100456.95999999999,897.51,iron_condor,QQQ,9
2024-12-10,101467.99,96.83,iron_condor,QQQ,10
2024-12-11,100724.54,267.58,iron_condor,QQQ,9
2025-01-02,101788.56,1064.02,iron_condor,QQQ,9
2025-01-02,102500.23000000001,1032.24,iron_condor,QQQ,10
2025-01-03,101371.16,-417.4,iron_condor,QQQ,9
2025-01-10,103132.89000000001,-945.76,iron_condor,QQQ,12
2025-01-21,104078.65000000001,1578.42,iron_condor,QQQ,10
2025-02-03,104660.49000000002,1527.6,iron_condor,QQQ,12
2025-02-06,102667.52000000002,53.56,iron_condor,QQQ,13
2025-02-13,104769.11000000002,108.62,iron_condor,QQQ,12
2025-02-24,100302.67000000004,-1062.93,iron_condor,QQQ,14
2025-02-24,104210.24000000002,1542.72,iron_condor,QQQ,13
2025-02-25,103671.83000000002,-1097.28,iron_condor,QQQ,12
2025-02-27,99306.99000000005,-995.68,iron_condor,QQQ,14
2025-03-04,103152.37000000002,-1057.87,iron_condor,QQQ,13
2025-03-04,102613.96000000002,-1057.87,iron_condor,QQQ,12
2025-03-06,102199.61000000003,-952.76,iron_condor,QQQ,13
2025-03-10,98181.70000000006,-1125.29,iron_condor,QQQ,14
2025-03-28,101365.60000000003,-834.01,iron_condor,QQQ,13
2025-03-28,97320.97000000006,-860.73,iron_condor,QQQ,14
2025-03-31,96649.10000000006,-671.87,iron_condor,QQQ,15
2025-04-04,95791.57000000007,-892.48,iron_condor,QQQ,16
2025-05-09,96684.05000000006,34.95,iron_condor,QQQ,15
2025-05-16,96946.59000000007,1155.02,iron_condor,QQQ,17
2025-05-21,97011.77000000006,65.18,iron_condor,QQQ,17
2025-06-02,99655.44000000008,766.5,iron_condor,QQQ,18
2025-06-03,97598.84000000007,587.07,iron_condor,QQQ,17
2025-06-20,100263.13000000008,607.69,iron_condor,QQQ,18
2025-06-20,101820.55000000008,1557.42,iron_condor,QQQ,19
2025-06-20,98888.94000000008,1290.1,iron_condor,QQQ,17
2025-11-06,101892.66000000008,72.11,iron_condor,QQQ,26
2025-12-17,102593.80000000008,701.14,iron_condor,QQQ,27
2026-02-17,101558.48000000007,-1035.32,iron_condor,QQQ,29
2026-02-27,102181.60000000006,623.12,iron_condor,QQQ,29
2026-03-09,102299.74000000006,118.14,iron_condor,QQQ,30
2026-03-27,101348.96000000006,-950.78,iron_condor,QQQ,31
2026-03-27,98853.01000000007,-1131.87,iron_condor,QQQ,33
2026-04-08,97612.80000000006,-1240.21,iron_condor,QQQ,33
2026-04-10,100323.60000000006,-1025.36,iron_condor,QQQ,31
2026-04-10,99984.88000000006,-338.72,iron_condor,QQQ,31
2026-04-16,96689.24000000006,-923.56,iron_condor,QQQ,33
2026-04-30,97224.57000000007,535.33,iron_condor,QQQ,33
2026-05-22,97449.59000000007,225.02,iron_condor,QQQ,33
