date,equity,pnl,strategy,symbol,window
2025-06-16,100877.66,877.66,iron_condor,QQQ,6
2025-06-18,101755.22,877.56,iron_condor,QQQ,6
2025-07-23,102651.75,896.53,iron_condor,QQQ,8
2025-08-01,103119.21,467.46,iron_condor,QQQ,8
2025-08-01,103488.57,369.36,iron_condor,QQQ,8
2025-08-01,103587.65000000001,99.08,iron_condor,QQQ,8
2025-08-11,105155.42000000001,917.45,iron_condor,QQQ,10
2025-08-12,106080.85,925.43,iron_condor,QQQ,10
2025-08-13,107002.28,921.43,iron_condor,QQQ,10
2025-08-15,104237.97000000002,650.32,iron_condor,QQQ,9
2025-08-26,107928.26,925.98,iron_condor,QQQ,10
2025-11-20,107861.95999999999,-66.3,iron_condor,QQQ,17
2026-03-27,107902.65999999999,40.7,iron_condor,QQQ,25
