symbol,feature,feature_type,horizon_days,ic,p_value,n_obs
QQQ,hurst_wavelet,fractal,1,-0.0302,0.5411,411
QQQ,hurst_scale_spread,fractal,1,0.0076,0.8773,411
QQQ,psd_beta,fractal,1,0.096,0.0519,411
QQQ,multifractal_width,fractal,1,-0.0014,0.9782,411
QQQ,multifractal_asymmetry,fractal,1,0.0045,0.9272,411
QQQ,hurst_wavelet,fractal,3,0.0227,0.6458,411
QQQ,hurst_scale_spread,fractal,3,-0.0217,0.6608,411
QQQ,psd_beta,fractal,3,0.1093,0.0267,411
QQQ,multifractal_width,fractal,3,0.0348,0.4812,411
QQQ,multifractal_asymmetry,fractal,3,0.0445,0.3684,411
QQQ,hurst_wavelet,fractal,5,0.0208,0.6739,411
QQQ,hurst_scale_spread,fractal,5,0.0104,0.8328,411
QQQ,psd_beta,fractal,5,0.1037,0.0356,411
QQQ,multifractal_width,fractal,5,0.0362,0.4638,411
QQQ,multifractal_asymmetry,fractal,5,0.0492,0.3195,411
QQQ,hurst_wavelet,fractal,10,0.0024,0.961,411
QQQ,hurst_scale_spread,fractal,10,0.081,0.1009,411
QQQ,psd_beta,fractal,10,0.0759,0.1245,411
QQQ,multifractal_width,fractal,10,0.117,0.0177,411
QQQ,multifractal_asymmetry,fractal,10,0.1307,0.008,411
QQQ,hurst_wavelet,fractal,20,-0.0147,0.7662,409
QQQ,hurst_scale_spread,fractal,20,0.0727,0.142,409
QQQ,psd_beta,fractal,20,-0.091,0.0658,409
QQQ,multifractal_width,fractal,20,0.3146,0.0,409
QQQ,multifractal_asymmetry,fractal,20,0.3176,0.0,409
