date,equity,pnl,strategy,symbol,window
2025-06-05,100518.21,518.21,iron_condor,QQQ,1
2025-06-06,101024.06000000001,505.85,iron_condor,QQQ,1
2025-06-10,101562.25000000001,538.19,iron_condor,QQQ,1
2025-06-13,101667.30000000002,105.05,iron_condor,QQQ,1
2025-06-13,101688.73000000001,21.43,iron_condor,QQQ,1
2025-06-13,101722.69000000002,33.96,iron_condor,QQQ,1
2025-06-26,101626.48000000001,-96.21,iron_condor,QQQ,2
2025-06-30,101309.27,-317.21,iron_condor,QQQ,2
2025-07-03,100982.3,-326.97,iron_condor,QQQ,2
2025-08-04,101482.86,500.56,iron_condor,QQQ,3
2025-08-05,101981.5,498.64,iron_condor,QQQ,3
2025-08-06,102477.06,495.56,iron_condor,QQQ,3
2025-09-11,102815.15,338.09,iron_condor,QQQ,4
2025-09-30,103595.79,780.64,iron_condor,QQQ,5
2025-10-03,104427.43,831.64,iron_condor,QQQ,5
2025-10-06,105264.79,837.36,iron_condor,QQQ,5
2025-10-10,105255.29,-9.5,iron_condor,QQQ,5
2025-10-10,104706.96999999999,-548.32,iron_condor,QQQ,5
2025-10-10,103792.93,-914.04,iron_condor,QQQ,5
2025-10-28,103738.7,-54.23,iron_condor,QQQ,6
2025-11-04,103776.70999999999,38.01,iron_condor,QQQ,6
2025-11-06,103766.37999999999,-10.33,iron_condor,QQQ,6
2025-11-10,104286.93,520.55,iron_condor,QQQ,6
2026-01-09,104227.81,-59.12,iron_condor,QQQ,8
2026-02-02,104787.59,559.78,iron_condor,QQQ,9
2026-02-04,104948.81,161.22,iron_condor,QQQ,9
2026-02-04,104565.83,-382.98,iron_condor,QQQ,9
2026-02-05,104701.32,135.49,iron_condor,QQQ,9
2026-04-09,104315.20000000001,-386.12,iron_condor,QQQ,11
